1	-85
2	-85
3	-86
4	-86
5	-85
6	-88
7	-88
8	-86
9	-86
10	-86
11	-87
12	-85
13	-86
14	-84
15	-84
16	-85
17	-85
18	-86
19	-85
20	-85
21	-85
22	-86
23	-86
24	-85
25	-85
26	-87
27	-89
28	-86
29	-85
30	-86
31	-87
32	-88
33	-89
34	-87
35	-86
36	-87
37	-87
38	-85
39	-85
40	-86
41	-85
42	-85
43	-85
44	-85
45	-84
46	-86
47	-86
48	-87
49	-87
50	-87
51	-86
52	-86
53	-86
54	-84
55	-84
56	-83
57	-83
58	-84
59	-84
60	-85
61	-84
62	-85
63	-84
64	-85
65	-85
66	-85
67	-85
68	-85
69	-85
70	-86
71	-86
72	-87
73	-87
74	-87
75	-86
76	-86
77	-85
78	-85
79	-85
80	-85
81	-85
82	-85
83	-84
84	-84
85	-84
86	-86
87	-87
88	-86
89	-86
90	-87
91	-86
92	-87
93	-87
94	-86
95	-86
96	-87
97	-87
98	-87
99	-87
100	-86
