1	-69
2	-69
3	-70
4	-69
5	-70
6	-70
7	-70
8	-70
9	-72
10	-72
11	-74
12	-72
13	-74
14	-74
15	-70
16	-70
17	-68
18	-67
19	-68
20	-69
21	-68
22	-69
23	-67
24	-68
25	-70
26	-70
27	-69
28	-68
29	-69
30	-68
31	-68
32	-68
33	-68
34	-68
35	-69
36	-69
37	-68
38	-67
39	-68
40	-67
41	-66
42	-67
43	-67
44	-67
45	-67
46	-68
47	-69
48	-67
49	-68
50	-70
51	-71
52	-71
53	-70
54	-71
55	-70
56	-70
57	-68
58	-67
59	-67
60	-68
61	-69
62	-69
63	-69
64	-69
65	-70
66	-70
67	-69
68	-71
69	-74
70	-73
71	-73
72	-73
73	-73
74	-73
75	-72
76	-71
77	-71
78	-69
79	-70
80	-70
81	-67
82	-68
83	-69
84	-68
85	-68
86	-68
87	-68
88	-68
89	-71
90	-70
91	-71
92	-71
93	-71
94	-71
95	-71
96	-72
97	-73
98	-73
99	-72
100	-73
