1	-69
2	-70
3	-70
4	-70
5	-69
6	-69
7	-70
8	-70
9	-72
10	-72
11	-72
12	-70
13	-71
14	-71
15	-71
16	-70
17	-69
18	-70
19	-69
20	-70
21	-69
22	-70
23	-70
24	-70
25	-72
26	-72
27	-71
28	-71
29	-72
30	-73
31	-75
32	-71
33	-72
34	-72
35	-71
36	-71
37	-72
38	-71
39	-71
40	-71
41	-69
42	-69
43	-69
44	-69
45	-70
46	-70
47	-69
48	-69
49	-70
50	-70
51	-71
52	-72
53	-71
54	-71
55	-71
56	-71
57	-69
58	-70
59	-70
60	-69
61	-69
62	-70
63	-70
64	-69
65	-69
66	-69
67	-69
68	-69
69	-69
70	-69
71	-69
72	-69
73	-71
74	-71
75	-71
76	-71
77	-71
78	-71
79	-71
80	-70
81	-69
82	-69
83	-69
84	-70
85	-70
86	-69
87	-69
88	-69
89	-71
90	-71
91	-70
92	-70
93	-71
94	-71
95	-70
96	-70
97	-70
98	-70
99	-71
100	-71
