1	-85
2	-84
3	-85
4	-85
5	-85
6	-85
7	-87
8	-87
9	-87
10	-86
11	-86
12	-87
13	-87
14	-87
15	-85
16	-85
17	-86
18	-85
19	-85
20	-85
21	-84
22	-84
23	-86
24	-87
25	-87
26	-87
27	-87
28	-88
29	-87
30	-87
31	-87
32	-87
33	-86
34	-87
35	-87
36	-87
37	-87
38	-86
39	-84
40	-84
41	-85
42	-85
43	-86
44	-85
45	-85
46	-86
47	-87
48	-88
49	-88
50	-88
51	-87
52	-87
53	-89
54	-89
55	-86
56	-87
57	-87
58	-87
59	-87
60	-86
61	-86
62	-86
63	-86
64	-86
65	-86
66	-86
67	-86
68	-86
69	-86
70	-86
71	-87
72	-88
73	-88
74	-87
75	-88
76	-87
77	-87
78	-87
79	-86
80	-86
81	-86
82	-87
83	-86
84	-87
85	-87
86	-87
87	-88
88	-89
89	-88
90	-88
91	-88
92	-87
93	-88
94	-88
95	-88
96	-88
97	-88
98	-89
99	-87
100	-88
